開放閩南語字典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［閩南語拼音］	［閩南語拼音 (數字調號)］
趕	赶	kóaⁿ	koann2
寡	寡	kóaⁿ	koann2
剮	剐	kóaⁿ	koann2
觀	观	kòaⁿ	koann3
寒	寒	kôaⁿ	koann5
綰	绾	kōaⁿ	koann7
攜	携	kōaⁿ	koann7
汗	汗	kōaⁿ	koann7
夬	夬	koat	koat
玦	玦	koat	koat
赽	赽	koat	koat
刮	刮	koat	koat
觼	觼	koat	koat
髺	髺	koat	koat
芵	芵	koat	koat
駃	駃	koat	koat
憰	憰	koat	koat
訣	诀	koat	koat
蟨	蟨	koat	koat
括	括	koat	koat
蚗	蚗	koat	koat
鴃	鴃	koat	koat
佸	佸	koat	koat
趹	趹	koat	koat
吷	吷	koat	koat
鴰	鸹	koat	koat
适	适	koat	koat
鐍	鐍	koat	koat
劀	劀	koat	koat
颳	刮	koat	koat
觖	觖	koat	koat
僪	僪	koat	koat
抉	抉	koat	koat
蛞	蛞	koat	koat
決	决	koat	koat
趏	趏	koat	koat
活	活	koat	koat
栝	栝	koat	koat
鵙	鵙	koat	koat
聒	聒	koat	koat
橛	橛	koat	koat
筈	筈	koat	koat
雞	鸡	koe	koe
街	街	koe	koe
龜	龟	koe	koe
階	阶	koe	koe
瓜	瓜	koe	koe
改	改	kóe	koe2
解	解	kóe	koe2
鮭	鲑	kóe	koe2
獪	狯	kòe	koe3
鱖	鳜	kòe	koe3
癐	癐	kòe	koe3
儈	侩	kòe	koe3
廥	廥	kòe	koe3
膾	脍	kòe	koe3
旝	旝	kòe	koe3
怪	怪	kòe	koe3
襘	襘	kòe	koe3
鱠	鲙	kòe	koe3
鄶	郐	kòe	koe3
劊	刽	kòe	koe3
噲	哙	kòe	koe3
澮	浍	kòe	koe3
檜	桧	kòe	koe3
劌	刿	kòe	koe3
會	会	kòe	koe3
蹶	蹶	kòe	koe3
獗	獗	kòe	koe3
薈	荟	kòe	koe3
疥	疥	kòe	koe3
禬	禬	kòe	koe3
械	械	kòe	koe3
易	易	kōe	koe7
鍥	锲	koeh	koeh
郭	郭	koeh	koeh
潔	洁	koeh	koeh
復	复	koh	koh
閣	阁	koh	koh
袼	袼	koh	koh
擱	搁	koh	koh
穀	谷	kok	kok
縠	縠	kok	kok
各	各	kok	kok
崞	崞	kok	kok
袼	袼	kok	kok
閣	阁	kok	kok
摑	掴	kok	kok
槨	椁	kok	kok
骼	骼	kok	kok
幗	帼	kok	kok
聝	聝	kok	kok
鞹	鞹	kok	kok
榖	榖	kok	kok
霩	霩	kok	kok
轂	毂	kok	kok
蟈	蝈	kok	kok
啍	啍	kok	kok
國	国	kok	kok
郭	郭	kok	kok
胳	胳	kok	kok
擱	搁	kok	kok
膕	膕	kok	kok
漷	漷	kok	kok
峪	峪	kok	kok
嘓	嘓	kok	kok
滈	滈	kok	kok
谷	谷	kok	kok
蔮	蔮	kok	kok
茖	茖	kok	kok
咯	咯	ko̍k	kok8
剛	刚	kong	kong
罡	罡	kong	kong
岡	冈	kong	kong
宮	宫	kong	kong
光	光	kong	kong
胱	胱	kong	kong
伉	伉	kong	kong
崗	岗	kong	kong
蚣	蚣	kong	kong
洸	洸	kong	kong
棡	棡	kong	kong
堈	堈	kong	kong
茳	茳	kong	kong
觥	觥	kong	kong
豇	豇	kong	kong
疘	疘	kong	kong
釭	釭	kong	kong
扛	扛	kong	kong
趪	趪	kong	kong
公	公	kong	kong
功	功	kong	kong
缸	缸	kong	kong
桄	桄	kong	kong
鋼	钢	kong	kong
訌	讧	kong	kong
工	工	kong	kong
攻	攻	kong	kong
幊	幊	kong	kong
矼	矼	kong	kong
綱	纲	kong	kong
犅	犅	kong	kong
魟	魟	kong	kong
肛	肛	kong	kong
笐	笐	kong	kong
獷	犷	kóng	kong2
懭	懭	kóng	kong2
逛	逛	kóng	kong2
講	讲	kóng	kong2
礦	矿	kóng	kong2
鉚	铆	kóng	kong2
穬	穬	kóng	kong2
廣	广	kóng	kong2
俇	俇	kòng	kong3
誆	诓	kòng	kong3
羾	羾	kòng	kong3
誑	诳	kòng	kong3
槓	槓	kòng	kong3
贛	赣	kòng	kong3
逛	逛	kòng	kong3
摃	摃	kòng	kong3
絳	绛	kòng	kong3
貢	贡	kòng	kong3
過	过	kòng	kong3
廣	广	kòng	kong3
狂	狂	kông	kong5
楗	楗	kông	kong5
俇	俇	kông	kong5
孤	孤	ko·	kou
辜	辜	ko·	kou
鴣	鸪	ko·	kou
箛	箛	ko·	kou
泃	泃	ko·	kou
冓	冓	ko·	kou
沽	沽	ko·	kou
罛	罛	ko·	kou
蛌	蛌	ko·	kou
鉤	钩	ko·	kou
跍	跍	ko·	kou
姑	姑	ko·	kou
嫴	嫴	ko·	kou
箍	箍	ko·	kou
酤	酤	ko·	kou
菰	菰	ko·	kou
柧	柧	ko·	kou
溝	沟	ko·	kou
蛄	蛄	ko·	kou
觚	觚	ko·	kou
高	高	ko·	kou
韝	韝	ko·	kou
刳	刳	ko·	kou
菇	菇	ko·	kou
鮕	鮕	ko·	kou
呱	呱	ko·	kou
句	句	ko·	kou
胍	胍	ko·	kou
枯	枯	ko·	kou
拘	拘	ko·	kou
桍	桍	ko·	kou
骷	骷	ko·	kou
篝	篝	ko·	kou
羖	羖	kó·	kou2
岣	岣	kó·	kou2
臌	臌	kó·	kou2
詁	诂	kó·	kou2
瞽	瞽	kó·	kou2
膏	膏	kó·	kou2
購	购	kó·	kou2
茩	茩	kó·	kou2
沽	沽	kó·	kou2
枸	枸	kó·	kou2
嘏	嘏	kó·	kou2
古	古	kó·	kou2
苟	苟	kó·	kou2
牯	牯	kó·	kou2
笱	笱	kó·	kou2
鈷	钴	kó·	kou2
狗	狗	kó·	kou2
盬	盬	kó·	kou2
鼓	鼓	kó·	kou2
賈	贾	kó·	kou2
稿	稿	kó·	kou2
蠱	蛊	kó·	kou2
估	估	kó·	kou2
搆	搆	kó·	kou2
媾	媾	kó·	kou2
耇	耇	kó·	kou2
冓	冓	kó·	kou2
垢	垢	kó·	kou2
罟	罟	kó·	kou2
股	股	kó·	kou2
彀	彀	kò·	kou3
故	故	kò·	kou3
雇	雇	kò·	kou3
顧	顾	kò·	kou3
媾	媾	kò·	kou3
痼	痼	kò·	kou3
遘	遘	kò·	kou3
凅	凅	kò·	kou3
詬	诟	kò·	kou3
覯	觏	kò·	kou3
姤	姤	kò·	kou3
佝	佝	kò·	kou3
固	固	kò·	kou3
購	购	kò·	kou3
怐	怐	kò·	kou3
雊	雊	kò·	kou3
構	构	kò·	kou3
僱	僱	kò·	kou3
搆	搆	kò·	kou3
錮	锢	kò·	kou3
糊	糊	kô·	kou5
句	句	kô·	kou5
苟	苟	kō·	kou7
踞	踞	ku	ku
車	车	ku	ku
琚	琚	ku	ku
居	居	ku	ku
崌	崌	ku	ku
齁	齁	ku	ku
股	股	ku	ku
鶋	鶋	ku	ku
涺	涺	ku	ku
龜	龟	ku	ku
椐	椐	ku	ku
古	古	ku	ku
腒	腒	ku	ku
裾	裾	ku	ku
俱	俱	ku	ku
軀	躯	ku	ku
呴	呴	ku	ku
痀	痀	ku	ku
蒟	蒟	kú	ku2
齲	龋	kú	ku2
矩	矩	kú	ku2
莒	莒	kú	ku2
舁	舁	kú	ku2
寠	寠	kú	ku2
棄	弃	kú	ku2
櫸	榉	kú	ku2
久	久	kú	ku2
窶	窭	kú	ku2
翑	翑	kú	ku2
舉	举	kú	ku2
秬	秬	kú	ku2
筥	筥	kú	ku2
踽	踽	kú	ku2
窶	窭	kù	ku3
鐻	鐻	kù	ku3
踞	踞	kù	ku3
句	句	kù	ku3
据	据	kù	ku3
遽	遽	kù	ku3
懅	懅	kù	ku3
屨	屦	kù	ku3
鋸	锯	kù	ku3
籧	籧	kù	ku3
倨	倨	kù	ku3
勾	勾	kù	ku3
灸	灸	kù	ku3
蘧	蘧	kù	ku3
瞿	瞿	kù	ku3
寠	寠	kù	ku3
據	据	kù	ku3
豦	豦	kù	ku3
泃	泃	kù	ku3
痀	痀	kû	ku5
璩	璩	kû	ku5
欋	欋	kû	ku5
磲	磲	kû	ku5
軥	軥	kû	ku5
胊	胊	kû	ku5
籧	籧	kû	ku5
蘧	蘧	kû	ku5
渠	渠	kû	ku5
鴝	鸲	kû	ku5
灈	灈	kû	ku5
氍	氍	kû	ku5
瞿	瞿	kû	ku5
衢	衢	kû	ku5
懅	懅	kû	ku5
劬	劬	kû	ku5
蕖	蕖	kû	ku5
臞	臞	kû	ku5
佢	佢	kū	ku7
駏	駏	kū	ku7
舊	旧	kū	ku7
咯	咯	kū	ku7
舅	舅	kū	ku7
岣	岣	kū	ku7
粔	粔	kū	ku7
岠	岠	kū	ku7
巨	巨	kū	ku7
苣	苣	kū	ku7
柜	柜	kū	ku7
具	具	kū	ku7
拒	拒	kū	ku7
埧	埧	kū	ku7
距	距	kū	ku7
俱	俱	kū	ku7
豦	豦	kū	ku7
炬	炬	kū	ku7
颶	飓	kū	ku7
耟	耟	kū	ku7
詎	讵	kū	ku7
虡	虡	kū	ku7
鉅	钜	kū	ku7
規	规	kui	kui
摫	摫	kui	kui
機	机	kui	kui
佹	佹	kui	kui
嫢	嫢	kui	kui
巋	岿	kui	kui
圭	圭	kui	kui
奎	奎	kui	kui
珪	珪	kui	kui
槻	槻	kui	kui
鮭	鲑	kui	kui
窺	窥	kui	kui
邽	邽	kui	kui
皈	皈	kui	kui
閨	闺	kui	kui
瑰	瑰	kui	kui
歸	归	kui	kui
闚	闚	kui	kui
宄	宄	kúi	kui2
詭	诡	kúi	kui2
簋	簋	kúi	kui2
揆	揆	kúi	kui2
喟	喟	kúi	kui2
鬼	鬼	kúi	kui2
嫢	嫢	kúi	kui2
晷	晷	kúi	kui2
匭	匦	kúi	kui2
厬	厬	kúi	kui2
佹	佹	kúi	kui2
垝	垝	kúi	kui2
幾	几	kúi	kui2
傀	傀	kúi	kui2
軌	轨	kúi	kui2
憒	愦	kùi	kui3
瞶	瞆	kùi	kui3
刲	刲	kùi	kui3
痵	痵	kùi	kui3
罣	罣	kùi	kui3
季	季	kùi	kui3
桂	桂	kùi	kui3
眭	眭	kùi	kui3
鯚	鯚	kùi	kui3
劊	刽	kùi	kui3
筀	筀	kùi	kui3
瑰	瑰	kùi	kui3
悸	悸	kùi	kui3
癸	癸	kùi	kui3
貴	贵	kùi	kui3
揆	揆	kûi	kui5
夔	夔	kûi	kui5
騤	骙	kûi	kui5
逵	逵	kûi	kui5
馗	馗	kûi	kui5
戣	戣	kûi	kui5
懷	怀	kûi	kui5
頄	頄	kûi	kui5
葵	葵	kûi	kui5
奊	奊	kûi	kui5
饋	馈	kūi	kui7
簣	篑	kūi	kui7
餽	餽	kūi	kui7
樻	樻	kūi	kui7
皈	皈	kūi	kui7
繢	缋	kūi	kui7
跪	跪	kūi	kui7
柜	柜	kūi	kui7
櫃	柜	kūi	kui7
鐀	鐀	kūi	kui7
懷	怀	kūi	kui7
臾	臾	kūi	kui7
蕢	蒉	kūi	kui7
歸	归	kūi	kui7
遺	遗	kūi	kui7
刮	刮	kuih	kuih
斤	斤	kun	kun
袀	袀	kun	kun
釿	釿	kun	kun
均	均	kun	kun
君	君	kun	kun
筠	筠	kun	kun
涒	涒	kun	kun
關	关	kun	kun
巾	巾	kun	kun
呁	呁	kun	kun
軍	军	kun	kun
皸	皲	kun	kun
筋	筋	kun	kun
跟	跟	kun	kun
肋	肋	kun	kun
根	根	kun	kun
褌	裈	kun	kun
觔	觔	kun	kun
鈞	钧	kun	kun
緄	绲	kún	kun2
蔉	蔉	kún	kun2
混	混	kún	kun2
鯀	鲧	kún	kun2
掍	掍	kún	kun2
袞	衮	kún	kun2
莙	莙	kún	kun2
輥	辊	kún	kun2
滾	滚	kún	kun2
茛	茛	kùn	kun3
艮	艮	kùn	kun3
棍	棍	kùn	kun3
拳	拳	kûn	kun5
裙	裙	kûn	kun5
麇	麇	kûn	kun5
群	群	kûn	kun5
郡	郡	kūn	kun7
近	近	kūn	kun7
榾	榾	kut	kut
愲	愲	kut	kut
猾	猾	kut	kut
骨	骨	kut	kut
縎	縎	kut	kut
扢	扢	kut	kut
鶻	鹘	kut	kut
出	出	kut	kut
倔	倔	ku̍t	kut8
掘	掘	ku̍t	kut8
鶻	鹘	ku̍t	kut8
崛	崛	ku̍t	kut8
猾	猾	ku̍t	kut8
汨	汨	ku̍t	kut8
滑	滑	ku̍t	kut8
堀	堀	ku̍t	kut8
挪	挪	la	la
拉	拉	la	la
仔	仔	lá	la2
喇	喇	là	la3
膫	膫	lâ	la5
蜊	蜊	lâ	la5
鯪	鲮	lâ	la5
掠	掠	lâ	la5
膋	膋	lâ	la5
撈	捞	lā	la7
曆	历	la̍h	lah8
臘	腊	la̍h	lah8
勒	勒	la̍h	lah8
獵	猎	la̍h	lah8
蠟	蜡	la̍h	lah8
歹	歹	lái	lai2
鶆	鶆	lâi	lai5
郲	郲	lâi	lai5
梨	梨	lâi	lai5
庲	庲	lâi	lai5
萊	莱	lâi	lai5
徠	徕	lâi	lai5
唻	唻	lâi	lai5
來	来	lâi	lai5
崍	崃	lâi	lai5
漦	漦	lâi	lai5
騋	騋	lâi	lai5
箂	箂	lâi	lai5
俐	俐	lāi	lai7
事	事	lāi	lai7
睞	睐	lāi	lai7
利	利	lāi	lai7
鯠	鯠	lāi	lai7
內	内	lāi	lai7
棶	梾	lāi	lai7
淶	涞	lāi	lai7
來	来	lāi	lai7
橐	橐	lak	lak
落	落	lak	lak
轆	辘	lak	lak
掠	掠	la̍k	lak8
陸	陆	la̍k	lak8
鹿	鹿	la̍k	lak8
六	六	la̍k	lak8
籠	笼	lam	lam
覽	览	lám	lam2
爁	爁	lám	lam2
襤	褴	lám	lam2
欖	榄	lám	lam2
纜	缆	lám	lam2
攬	揽	lám	lam2
壈	𡒄	lám	lam2
腩	腩	lám	lam2
揇	揇	lám	lam2
膦	膦	lám	lam2
灠	漤	lám	lam2
弱	弱	lám	lam2
壓	压	làm	lam3
籃	篮	lâm	lam5
襤	褴	lâm	lam5
男	男	lâm	lam5
嵐	岚	lâm	lam5
啐	啐	lâm	lam5
莮	莮	lâm	lam5
藍	蓝	lâm	lam5
惏	惏	lâm	lam5
淋	淋	lâm	lam5
蝻	蝻	lâm	lam5
柟	柟	lâm	lam5
諵	諵	lâm	lam5
楠	楠	lâm	lam5
弇	弇	lâm	lam5
南	南	lâm	lam5
喃	喃	lâm	lam5
婪	婪	lâm	lam5
灠	漤	lām	lam7
艦	舰	lām	lam7
爁	爁	lām	lam7
轞	轞	lām	lam7
檻	槛	lām	lam7
纜	缆	lām	lam7
濫	滥	lām	lam7
趼	趼	lan	lan
戁	戁	lán	lan2
咱	咱	lán	lan2
嬾	嬾	lán	lan2
懶	懒	lán	lan2
赧	赧	lán	lan2
鱗	鳞	lân	lan5
攔	拦	lân	lan5
闌	阑	lân	lan5
蘭	兰	lân	lan5
欄	栏	lân	lan5
瀾	澜	lân	lan5
籣	籣	lân	lan5
斕	斓	lân	lan5
難	难	lân	lan5
讕	谰	lân	lan5
南	南	lân	lan5
襴	襴	lân	lan5
躝	躝	lân	lan5
零	零	lân	lan5
鑭	镧	lân	lan5
糷	糷	lân	lan5
爛	烂	lān	lan7
難	难	lān	lan7
瀾	澜	lān	lan7
懶	懒	lān	lan7
朗	朗	láng	lang2
籠	笼	láng	lang2
聾	聋	lâng	lang5
人	人	lâng	lang5
礱	砻	lâng	lang5
虫	虫	lâng	lang5
膿	脓	lâng	lang5
項	项	lāng	lang7
弄	弄	lāng	lang7
塌	塌	lap	lap
衲	衲	la̍p	lap8
拉	拉	la̍p	lap8
納	纳	la̍p	lap8
內	内	la̍p	lap8
妠	妠	la̍p	lap8
軜	軜	la̍p	lap8
魶	魶	la̍p	lap8
鈉	钠	la̍p	lap8
臘	腊	la̍p	lap8
喇	喇	lat	lat
捺	捺	lat	lat
力	力	la̍t	lat8
叻	叻	la̍t	lat8
揧	揧	la̍t	lat8
栗	栗	la̍t	lat8
瘌	瘌	la̍t	lat8
楋	楋	la̍t	lat8
辣	辣	la̍t	lat8
慄	栗	la̍t	lat8
剌	剌	la̍t	lat8
呶	呶	lau	lau
譊	譊	lau	lau
惱	恼	láu	lau2
荖	荖	láu	lau2
拐	拐	láu	lau2
撓	挠	láu	lau2
老	老	láu	lau2
蓼	蓼	láu	lau2
詏	詏	làu	lau3
老	老	làu	lau3
瘤	瘤	lâu	lau5
怓	怓	lâu	lau5
流	流	lâu	lau5
劉	刘	lâu	lau5
鐃	铙	lâu	lau5
樓	楼	lâu	lau5
留	留	lâu	lau5
呶	呶	lâu	lau5
淖	淖	lāu	lau7
鬧	闹	lāu	lau7
漏	漏	lāu	lau7
荳	荳	lāu	lau7
老	老	lāu	lau7
瘺	瘘	lāu	lau7
橈	桡	lāu	lau7
落	落	lau̍h	lauh8
絡	络	le	le
鱧	鳢	lé	le2
儡	儡	lé	le2
豊	豊	lé	le2
蠡	蠡	lé	le2
濔	濔	lé	le2
醴	醴	lé	le2
澧	澧	lé	le2
禮	礼	lé	le2
泥	泥	lê	le5
梨	梨	lê	le5
驪	骊	lê	le5
鸝	鹂	lê	le5
坭	坭	lê	le5
蜓	蜓	lê	le5
臡	臡	lê	le5
黧	黧	lê	le5
藜	藜	lê	le5
黎	黎	lê	le5
琉	琉	lê	le5
璃	璃	lê	le5
麗	丽	lê	le5
螺	螺	lê	le5
犁	犁	lê	le5
酈	郦	lê	le5
蠡	蠡	lê	le5
蜊	蜊	lê	le5
蔾	蔾	lê	le5
黐	黐	lê	le5
儷	俪	lē	le7
栵	栵	lē	le7
例	例	lē	le7
糲	粝	lē	le7
砅	砅	lē	le7
禲	禲	lē	le7
荔	荔	lē	le7
蜧	蜧	lē	le7
厲	厉	lē	le7
盭	盭	lē	le7
癘	疠	lē	le7
綟	綟	lē	le7
曬	晒	lē	le7
洌	洌	lē	le7
勵	励	lē	le7
麗	丽	lē	le7
捩	捩	lē	le7
濿	濿	lē	le7
鱺	鲡	lē	le7
礪	砺	lē	le7
鱱	鱱	lē	le7
吏	吏	lē	le7
悷	悷	lē	le7
唳	唳	lē	le7
戾	戾	lē	le7
蠣	蛎	lē	le7
尼	尼	lē	le7
隸	隶	lē	le7
厄	厄	lē	le7
靂	雳	le̍h	leh8
裂	裂	le̍h	leh8
泐	泐	lek	lek
衵	衵	lek	lek
惄	惄	lek	lek
慝	慝	lek	lek
軛	轭	lek	lek
呃	呃	lek	lek
昵	昵	lek	lek
阨	阨	lek	lek
篥	篥	lek	lek
爍	烁	lek	lek
尼	尼	lek	lek
扼	扼	lek	lek
忸	忸	lek	lek
鑠	铄	lek	lek
慄	栗	lek	lek
溧	溧	lek	lek
阞	阞	lek	lek
搮	搮	lek	lek
暱	暱	lek	lek
溺	溺	le̍k	lek8
櫟	栎	le̍k	lek8
昵	昵	le̍k	lek8
嚦	呖	le̍k	lek8
錄	录	le̍k	lek8
皪	皪	le̍k	lek8
慝	慝	le̍k	lek8
酈	郦	le̍k	lek8
鬲	鬲	le̍k	lek8
暱	暱	le̍k	lek8
力	力	le̍k	lek8
仂	仂	le̍k	lek8
爍	烁	le̍k	lek8
扐	扐	le̍k	lek8
肋	肋	le̍k	lek8
瀝	沥	le̍k	lek8
轣	轣	le̍k	lek8
蒞	莅	le̍k	lek8
勒	勒	le̍k	lek8
秝	秝	le̍k	lek8
搦	搦	le̍k	lek8
菉	菉	le̍k	lek8
儮	儮	le̍k	lek8
屴	屴	le̍k	lek8
靂	雳	le̍k	lek8
鰳	鳓	le̍k	lek8
匿	匿	le̍k	lek8
轢	轹	le̍k	lek8
鎘	镉	le̍k	lek8
櫪	枥	le̍k	lek8
礫	砾	le̍k	lek8
栗	栗	le̍k	lek8
竻	竻	le̍k	lek8
綠	绿	le̍k	lek8
藶	苈	le̍k	lek8
叻	叻	le̍k	lek8
躒	跞	le̍k	lek8
衵	衵	le̍k	lek8
曆	历	le̍k	lek8
歷	历	le̍k	lek8
蚸	蚸	le̍k	lek8
瓅	瓅	le̍k	lek8
氻	氻	le̍k	lek8
嬭	嬭	leng	leng
奶	奶	leng	leng
妳	妳	leng	leng
伶	伶	léng	leng2
領	领	léng	leng2
兩	两	léng	leng2
嶺	岭	léng	leng2
冷	冷	léng	leng2
濘	泞	léng	leng2
踜	踜	lèng	leng3
櫺	櫺	lêng	leng5
聹	聍	lêng	leng5
霝	霝	lêng	leng5
輘	輘	lêng	leng5
柃	柃	lêng	leng5
聆	聆	lêng	leng5
羚	羚	lêng	leng5
明	明	lêng	leng5
嬣	嬣	lêng	leng5
楞	楞	lêng	leng5
陵	陵	lêng	leng5
樑	樑	lêng	leng5
怜	怜	lêng	leng5
薐	薐	lêng	leng5
昤	昤	lêng	leng5
蛉	蛉	lêng	leng5
瓴	瓴	lêng	leng5
夌	夌	lêng	leng5
獰	狞	lêng	leng5
拎	拎	lêng	leng5
睖	睖	lêng	leng5
磷	磷	lêng	leng5
粼	粼	lêng	leng5
寍	寍	lêng	leng5
澪	澪	lêng	leng5
舲	舲	lêng	leng5
鴒	鸰	lêng	leng5
檸	柠	lêng	leng5
齡	龄	lêng	leng5
零	零	lêng	leng5
龍	龙	lêng	leng5
銘	铭	lêng	leng5
玲	玲	lêng	leng5
砱	砱	lêng	leng5
稜	稜	lêng	leng5
酃	酃	lêng	leng5
欞	棂	lêng	leng5
倰	倰	lêng	leng5
蔆	蔆	lêng	leng5
翎	翎	lêng	leng5
擰	拧	lêng	leng5
笭	笭	lêng	leng5
甯	甯	lêng	leng5
淩	凌	lêng	leng5
棱	棱	lêng	leng5
儜	儜	lêng	leng5
岭	岭	lêng	leng5
寧	宁	lêng	leng5
鯪	鲮	lêng	leng5
鈴	铃	lêng	leng5
呬	呬	lêng	leng5
凌	凌	lêng	leng5
冷	冷	lêng	leng5
菱	菱	lêng	leng5
囹	囹	lêng	leng5
囹	囹	lêng	leng5
崚	崚	lêng	leng5
濘	泞	lêng	leng5
泠	泠	lêng	leng5
令	令	lêng	leng5
靈	灵	lêng	leng5
嚀	咛	lêng	leng5
綾	绫	lêng	leng5
薴	苧	lêng	leng5
苓	苓	lêng	leng5
能	能	lêng	leng5
伶	伶	lêng	leng5
令	令	lēng	leng7
另	另	lēng	leng7
楝	楝	lēng	leng7
濘	泞	lēng	leng7
翎	翎	lēng	leng7
甯	甯	lēng	leng7
量	量	lēng	leng7
鴒	鸰	lēng	leng7
倰	倰	lēng	leng7
咿	咿	li	li
汝	汝	lí	li2
裡	里	lí	li2
俚	俚	lí	li2
尒	尒	lí	li2
裏	里	lí	li2
哩	哩	lí	li2
纚	纚	lí	li2
履	履	lí	li2
里	里	lí	li2
爾	尔	lí	li2
悝	悝	lí	li2
李	李	lí	li2
你	你	lí	li2
邐	逦	lí	li2
理	理	lí	li2
鯉	鲤	lí	li2
瘰	瘰	lí	li2
璃	璃	lî	li5
離	离	lî	li5
黐	黐	lî	li5
縭	缡	lî	li5
篱	篱	lî	li5
离	离	lî	li5
尼	尼	lî	li5
摛	摛	lî	li5
漦	漦	lî	li5
氂	牦	lî	li5
貍	貍	lî	li5
籬	篱	lî	li5
儷	俪	lî	li5
梨	梨	lî	li5
螭	螭	lî	li5
蘺	蓠	lî	li5
厘	厘	lî	li5
簾	帘	lî	li5
閭	闾	lî	li5
瞝	瞝	lî	li5
麗	丽	lî	li5
狸	狸	lî	li5
嫠	嫠	lî	li5
褵	褵	lî	li5
漓	漓	lî	li5
釐	厘	lî	li5
犛	犛	lî	li5
樆	樆	lî	li5
纚	纚	lî	li5
魑	魑	lî	li5
醨	醨	lî	li5
謧	謧	lî	li5
罹	罹	lî	li5
娌	娌	lî	li5
梩	梩	lî	li5
莉	莉	lī	li7
蒞	莅	lī	li7
痢	痢	lī	li7
浰	浰	lī	li7
離	离	lī	li7
吏	吏	lī	li7
詈	詈	lī	li7
利	利	lī	li7
哩	哩	lī	li7
唎	唎	lī	li7
俐	俐	lī	li7
摘	摘	liah	liah
拏	拏	lia̍h	liah8
拿	拿	lia̍h	liah8
掠	掠	lia̍h	liah8
捕	捕	lia̍h	liah8
略	略	lia̍h	liah8
拈	拈	liam	liam
跕	跕	liam	liam
攬	揽	liám	liam2
羷	羷	liám	liam2
淰	淰	liám	liam2
蘞	蔹	liám	liam2
臉	脸	liám	liam2
斂	敛	liám	liam2
撿	捡	liám	liam2
殮	殓	liám	liam2
瀲	潋	liám	liam2
捻	捻	liàm	liam3
薟	莶	liâm	liam5
溓	溓	liâm	liam5
蘞	蔹	liâm	liam5
磏	磏	liâm	liam5
搛	搛	liâm	liam5
簷	簷	liâm	liam5
譧	譧	liâm	liam5
鐮	镰	liâm	liam5
帘	帘	liâm	liam5
賺	赚	liâm	liam5
檐	檐	liâm	liam5
淋	淋	liâm	liam5
拈	拈	liâm	liam5
黏	黏	liâm	liam5
襝	裣	liâm	liam5
臨	临	liâm	liam5
連	连	liâm	liam5
鎌	鎌	liâm	liam5
粘	粘	liâm	liam5
廉	廉	liâm	liam5
奩	奁	liâm	liam5
濂	濂	liâm	liam5
襜	襜	liâm	liam5
簾	帘	liâm	liam5
斂	敛	liām	liam7
念	念	liām	liam7
殮	殓	liām	liam7
唸	唸	liām	liam7
棯	棯	liām	liam7
嗹	嗹	lian	lian
僆	僆	lián	lian2
攆	撵	lián	lian2
連	连	lián	lian2
臉	脸	lián	lian2
輾	辗	lián	lian2
攬	揽	lián	lian2
撚	撚	lián	lian2
跈	跈	lián	lian2
膦	膦	lián	lian2
璉	琏	lián	lian2
碾	碾	lián	lian2
履	履	lián	lian2
輦	辇	lián	lian2
槤	梿	lián	lian2
涊	涊	lián	lian2
摙	摙	lián	lian2
鏈	链	liân	lian5
連	连	liân	lian5
零	零	liân	lian5
褳	裢	liân	lian5
嗹	嗹	liân	lian5
年	年	liân	lian5
蓮	莲	liân	lian5
漣	涟	liân	lian5
憐	怜	liân	lian5
鰱	鲢	liân	lian5
聯	联	liân	lian5
煉	炼	liān	lian7
練	练	liān	lian7
揀	拣	liān	lian7
鍊	鍊	liān	lian7
僆	僆	liān	lian7
楝	楝	liān	lian7
鏈	链	liān	lian7
湅	湅	liān	lian7
喨	喨	liāng	liang7
亮	亮	liāng	liang7
聶	聂	liap	liap
涅	涅	liap	liap
敜	敜	liap	liap
捏	捏	liap	liap
讘	讘	liap	liap
囁	嗫	liap	liap
灄	滠	liap	liap
摺	折	liap	liap
躡	蹑	liap	liap
掜	掜	liap	liap
苶	苶	liap	liap
捻	捻	liap	liap
鑷	镊	liap	liap
攝	摄	liap	liap
熀	熀	liap	liap
睫	睫	liap	liap
拉	拉	liap	liap
懾	慑	liap	liap
捏	捏	lia̍p	liap8
臘	腊	lia̍p	liap8
笝	笝	lia̍p	liap8
鬣	鬣	lia̍p	liap8
蠟	蜡	lia̍p	liap8
邋	邋	lia̍p	liap8
獵	猎	lia̍p	liap8
拉	拉	lia̍p	liap8
鑞	镴	lia̍p	liap8
囡	囡	lia̍p	liap8
擸	擸	lia̍p	liap8
黏	黏	lia̍p	liap8
粘	粘	lia̍p	liap8
粒	粒	lia̍p	liap8
儠	儠	lia̍p	liap8
躐	躐	lia̍p	liap8
鴷	䴕	lia̍t	liat8
捩	捩	lia̍t	liat8
裂	裂	lia̍t	liat8
冽	冽	lia̍t	liat8
颲	颲	lia̍t	liat8
烈	烈	lia̍t	liat8
洌	洌	lia̍t	liat8
咧	咧	lia̍t	liat8
列	列	lia̍t	liat8
栵	栵	lia̍t	liat8
茢	茢	lia̍t	liat8
趔	趔	lia̍t	liat8
蔦	茑	liáu	liau2
嬲	嬲	liáu	liau2
